asin,title,category,us_price,us_sold,us_rating,us_reviews,listed_since,de_listed,de_price_eur,de_sold,de_offers,de_max_cogs_25,ae_price_usd,ae_max_cogs_25,target_cogs,est_net_unit,est_monthly_net,verdict,rationale,alibaba_url,url
B0H2MCCNWR,"Vestomeli Upgrade Bidet Attachment for Toilet Seat, Adjustable Angle Dual Nozzle, Self-Cleaning, Non-Electric Bidet Attachment for Rear & Feminine Wash, Controllable Fresh Cold Water Pressure",Tools & Home Improvement > Kitchen & Bath Fixtures,59.99,4000,4.3,114,2026-05-22,нет,,,,,56.99,17.74,17.74,12.82,5128.0,BUY,"на DE не продаётся — свободная ниша, спрос проверять запуском/PPC; + продажи ≈4000/мес; + вход при закупке ≤$13.74 даёт маржу 25%; + Buy Box не у Amazon; + конкуренция умеренная (3 офферов); − волатильность цены 1.406",https://www.alibaba.com/trade/search?SearchText=upgrade%20bidet%20attachment%20toilet%20seat,https://www.amazon.com/dp/B0H2MCCNWR
B0GRFH95WT,"Nuzzle Queen Size Adjustable Firm Pillow – Hotel Luxury Neck Support, Height Adjust Soft Cooling Pillow for Back, Stomach or Side Sleepers-Home Gift",Home & Kitchen > Bedding,47.59,5000,4.3,8071,2026-02-28,нет,,,,,45.21,10.1,10.1,10.17,5085.0,BUY,"на DE не продаётся — свободная ниша, спрос проверять запуском/PPC; + продажи ≈5000/мес; + вход при закупке ≤$4.45 даёт маржу 25%; + Buy Box не у Amazon; + конкуренция умеренная (1 офферов)",https://www.alibaba.com/trade/search?SearchText=queen%20size%20adjustable%20firm%20pillow,https://www.amazon.com/dp/B0GRFH95WT
B0GT8HK7LS,"Portable Air Conditioner, 2026 Upgraded 4-IN-1 Portable Ice Fan with 3 Cooling Speeds & 1500ml Water Tank, 2 Cool Mist Ultra-Quiet Desktop AC Fan with Remote & 2-8H Timer for Bedroom, Office, Home","Home & Kitchen > Heating, Cooling & Air Quality",54.98,4000,4.2,274,2026-03-20,нет,,,,,52.23,15.09,15.09,11.75,4700.0,BUY,"на DE не продаётся — свободная ниша, спрос проверять запуском/PPC; + продажи ≈4000/мес; + вход при закупке ≤$8.07 даёт маржу 25%; + Buy Box не у Amazon; + конкуренция умеренная (1 офферов)",https://www.alibaba.com/trade/search?SearchText=portable%20air%20conditioner%20upgraded%20ice,https://www.amazon.com/dp/B0GT8HK7LS
B0GHNMJQ2C,"Bug Zapper Outdoor & Indoor,Cordless Portable Mosquito Zapper with Rechargeable 4800mAh Battery & Auto On/Off,Mosquito Repellent Outdoor Patio,Electric Fly Trap for Camping,Kitchen,Backyard,Patio","Patio, Lawn & Garden > Pest Control",35.97,6000,4.4,461,2026-03-11,нет,,,,,34.17,8.99,8.99,7.69,4614.0,BUY,"на DE не продаётся — свободная ниша, спрос проверять запуском/PPC; + продажи ≈6000/мес; + вход при закупке ≤$3.32 даёт маржу 25%; + Buy Box не у Amazon; + конкуренция умеренная (1 офферов)",https://www.alibaba.com/trade/search?SearchText=bug%20zapper%20outdoor%20indoor%20cordless,https://www.amazon.com/dp/B0GHNMJQ2C
B0GV2DHXWS,"Chasesun Portable Neck Fan - Rechargeable Personal Fan, 20 Hours Cooling Time, No Hair Tangling, Hands-Free Bladeless Fan for Travel, Birthday Gifts for Women and Men","Home & Kitchen > Heating, Cooling & Air Quality",29.99,7000,4.7,258,2026-03-27,нет,,,,,28.49,7.37,7.37,6.41,4487.0,BUY,"на DE не продаётся — свободная ниша, спрос проверять запуском/PPC; + продажи ≈7000/мес; + вход при закупке ≤$4.32 даёт маржу 25%; + Buy Box не у Amazon; + конкуренция умеренная (3 офферов); − волатильность цены 0.88",https://www.alibaba.com/trade/search?SearchText=portable%20neck%20fan%20rechargeable%20personal,https://www.amazon.com/dp/B0GV2DHXWS
B0GJ4NHH4L,"Travel Steamer for Clothes, 100-240V Dual Voltage Garment Steamer, 1000W Handheld Steam & Iron 2 in 1, Travel Size, for Global & Europe Traveling, Business, Home, Space Grey",Home & Kitchen > Irons & Steamers,49.99,4000,4.6,129,2026-04-01,да,78.52,,1,26.11,47.49,13.85,13.85,10.69,4276.0,BUY,"DE: есть листинг, ≈? шт/мес, 1 офферов; + продажи ≈4000/мес; + вход при закупке ≤$8.11 даёт маржу 25%; + Buy Box не у Amazon; + конкуренция умеренная (5 офферов)",https://www.alibaba.com/trade/search?SearchText=travel%20steamer%20clothes%20dual%20voltage,https://www.amazon.com/dp/B0GJ4NHH4L
B0GGNS411Z,"Amzrap 200FT Outdoor String Lights with Remote, Waterproof Patio Lights with 72+2 Shatterproof LED Bulbs, 2700K Dimmable Waterproof Hanging Decor for Backyard Garden Porch Bistro, Timer & 3 Modes",Tools & Home Improvement > Lighting & Ceiling Fans,49.98,4000,4.7,1378,2026-05-14,нет,,,,,47.48,11.16,11.16,10.68,4272.0,BUY,"на DE не продаётся — свободная ниша, спрос проверять запуском/PPC; + продажи ≈4000/мес; + вход при закупке ≤$6.58 даёт маржу 25%; + Buy Box не у Amazon; + конкуренция умеренная (3 офферов); − волатильность цены 0.811",https://www.alibaba.com/trade/search?SearchText=outdoor%20string%20lights%20remote%20waterproof,https://www.amazon.com/dp/B0GGNS411Z
B0GL1XQGNK,"SSWind 6000mAh Portable Handheld Fan with Ice Cooling, 199 Levels Stepless Speed, 20H Long Battery Life, 20000RPM Turbo Fan Rechargeable Personal Mini Fan for Travel, Outdoor, Makeup (White)","Home & Kitchen > Heating, Cooling & Air Quality",28.32,7000,4.4,416,2026-02-02,нет,,,,,26.9,6.81,6.81,6.05,4235.0,BUY,"на DE не продаётся — свободная ниша, спрос проверять запуском/PPC; + продажи ≈7000/мес; + вход при закупке ≤$3.75 даёт маржу 25%; + Buy Box не у Amazon; + конкуренция умеренная (1 офферов)",https://www.alibaba.com/trade/search?SearchText=mah%20portable%20handheld%20fan%20ice,https://www.amazon.com/dp/B0GL1XQGNK
B0GGL3B25P,"Ultrasonic Pest Repellent Plug-in, Electronic Mouse Traps & Insect Repellent, Pest Control for Rodent, Roach, Ant, Squirrel, Spider, Bugs, Mouse, Rat, Bat for Home, Office, Warehouse Black 1 Pack","Patio, Lawn & Garden > Pest Control",37.96,5000,4.5,122,2026-06-15,да,103.09,,2,36.9,36.06,10.34,10.34,8.11,4055.0,BUY,"DE: есть листинг, ≈? шт/мес, 2 офферов; + продажи ≈5000/мес; + вход при закупке ≤$7.55 даёт маржу 25%; + Buy Box не у Amazon; + конкуренция умеренная (3 офферов)",https://www.alibaba.com/trade/search?SearchText=ultrasonic%20pest%20repellent%20plug%20electronic,https://www.amazon.com/dp/B0GGL3B25P
B0GTMH1VZY,"BOZYBO Rain Shower Head with Handheld: High Pressure Shower Heads with Handheld Spray Combo, 12"" Rainfall Shower Head and 9 Sprays Hand Showerheads with Magnetic Docking and Power Jets, Black 1.8GPM",Tools & Home Improvement > Kitchen & Bath Fixtures,59.99,3000,4.4,7682,2026-05-26,нет,,,,,56.99,16.27,16.27,12.82,3846.0,BUY,"на DE не продаётся — свободная ниша, спрос проверять запуском/PPC; + продажи ≈3000/мес; + вход при закупке ≤$8.79 даёт маржу 25%; + Buy Box не у Amazon; + конкуренция умеренная (1 офферов)",https://www.alibaba.com/trade/search?SearchText=rain%20shower%20head%20handheld%20high,https://www.amazon.com/dp/B0GTMH1VZY
B0GMT987FX,"Brita Large 10-Cup Water Filter Pitcher with BritaPlus Filter, WQA NSF/ANSI Certified, Reduces 2X Contaminants vs. Standard, Removes Chlorine Taste & Odor, Reduces Zinc Copper Mercury, Stone Blue",Tools & Home Improvement > Kitchen & Bath Fixtures,44.79,4000,4.6,1336,2026-02-10,нет,,,,,42.55,11.35,11.35,9.57,3828.0,BUY,"на DE не продаётся — свободная ниша, спрос проверять запуском/PPC; + продажи ≈4000/мес; + вход при закупке ≤$5.04 даёт маржу 25%; + Buy Box не у Amazon; + конкуренция умеренная (4 офферов); − волатильность цены 0.765",https://www.alibaba.com/trade/search?SearchText=cup%20water%20filter%20pitcher%20plus,https://www.amazon.com/dp/B0GMT987FX
B0GZTN9882,"Fruit Fly Trap for Indoors, Blue Bug Zapper Indoor with Suction & Timer","Patio, Lawn & Garden > Pest Control",34.19,5000,4.6,164,2026-05-22,нет,,,,,32.48,8.21,8.21,7.31,3655.0,BUY,"на DE не продаётся — свободная ниша, спрос проверять запуском/PPC; + продажи ≈5000/мес; + вход при закупке ≤$4.66 даёт маржу 25%; + Buy Box не у Amazon; + конкуренция умеренная (2 офферов)",https://www.alibaba.com/trade/search?SearchText=fruit%20fly%20trap%20indoors%20bug,https://www.amazon.com/dp/B0GZTN9882
B0GSZHLZ3B,"15 Pack Vacuum Storage Bags for Travel with Cordless Pump, Space Saver Bags for Clothes, Compression Packing Bags for Luggage, 15 Combo Size",Home & Kitchen > Storage & Organization,33.99,5000,4.5,468,2026-03-18,нет,,,,,32.29,7.27,7.27,7.27,3635.0,BUY,"на DE не продаётся — свободная ниша, спрос проверять запуском/PPC; + продажи ≈5000/мес; + вход при закупке ≤$4.77 даёт маржу 25%; + Buy Box не у Amazon; + конкуренция умеренная (2 офферов)",https://www.alibaba.com/trade/search?SearchText=vacuum%20storage%20bags%20travel%20cordless,https://www.amazon.com/dp/B0GSZHLZ3B
B0GWKG8PXG,"AVAXO Bug Zapper Outdoor, Dual Wavelength UV 50000H Lifespan & Dual LED Lamps, 1/2 Acre Coverage, 5 Zaps/Sec, 4200V Electric Mosquito Zapper, IPX4 Waterproof Fly Trap for Indoor Patio Backyard","Patio, Lawn & Garden > Pest Control",38.97,4000,4.6,197,2026-04-16,нет,,,,,37.02,9.82,9.82,8.33,3332.0,BUY,"на DE не продаётся — свободная ниша, спрос проверять запуском/PPC; + продажи ≈4000/мес; + вход при закупке ≤$4.37 даёт маржу 25%; + Buy Box не у Amazon; + конкуренция умеренная (1 офферов); − волатильность цены 1.692",https://www.alibaba.com/trade/search?SearchText=bug%20zapper%20outdoor%20dual%20wavelength,https://www.amazon.com/dp/B0GWKG8PXG
B0GWQL2NJ1,"CAGVG Fly Trap Indoor, Fruit Fly Traps for Indoors Flying Insect Gnat Traps for House Indoor with Adjustable Lighting, Bug Zapper Indoor, Gnat Killer Catcher with 10 Refills （Black）","Patio, Lawn & Garden > Pest Control",30.59,5000,4.2,312,2026-05-06,нет,,,,,29.06,7.03,7.03,6.54,3270.0,BUY,"на DE не продаётся — свободная ниша, спрос проверять запуском/PPC; + продажи ≈5000/мес; + вход при закупке ≤$4.82 даёт маржу 25%; + Buy Box не у Amazon; + конкуренция умеренная (5 офферов)",https://www.alibaba.com/trade/search?SearchText=fly%20trap%20indoor%20fruit%20traps,https://www.amazon.com/dp/B0GWQL2NJ1
B0GXQRZRTR,"100 FT Non-Expanding Garden Hose, 2026 New Upgrated Non-Expandable Garden Water Hose - Ultra-Light & Flexible Burst-Resistant, Kink-Free Garden Hoses, All-Weather Use for Lawns, Gardens,Outdoor","Patio, Lawn & Garden > Gardening & Lawn Care",48.15,3000,4.8,28,2026-04-18,да,170.3,,1,60.3,45.74,10.44,10.44,10.29,3087.0,BUY,"DE: есть листинг, ≈? шт/мес, 1 офферов; + продажи ≈3000/мес; + вход при закупке ≤$5.23 даёт маржу 25%; + Buy Box не у Amazon; + конкуренция умеренная (2 офферов)",https://www.alibaba.com/trade/search?SearchText=non%20expanding%20garden%20hose%20upgrated,https://www.amazon.com/dp/B0GXQRZRTR
B0GWRQ3CWB,"Ecoflarix Large Capacity Milk Frother: 4-in-1 Electric Milk Steamer 350ml, 7700RPM High Speed, 120s Fast Frothing, 𝐇𝐨𝐭 & 𝐂𝐨𝐥𝐝 Foam Maker, Helpful Stainless Steel for Latte - Grayish Black",Home & Kitchen > Kitchen & Dining,34.19,4000,4.9,118,2026-04-10,нет,,,,,32.48,8.23,8.23,7.31,2924.0,BUY,"на DE не продаётся — свободная ниша, спрос проверять запуском/PPC; + продажи ≈4000/мес; + вход при закупке ≤$5.91 даёт маржу 25%; + Buy Box не у Amazon; + конкуренция умеренная (2 офферов); − волатильность цены 2.613",https://www.alibaba.com/trade/search?SearchText=capacity%20milk%20frother%20electric%20steamer,https://www.amazon.com/dp/B0GWRQ3CWB
B0GXV7V7JL,"Fruit Fly Trap for Indoors, Fly Traps for Home Gnat Traps House Indoor, Indoor Insect Trap with Timer, Pack of 10 Refills (Blue)","Patio, Lawn & Garden > Pest Control",34.19,4000,4.4,225,2026-04-27,да,55.99,,1,16.73,32.48,8.21,8.21,7.31,2924.0,BUY,"DE: есть листинг, ≈? шт/мес, 1 офферов; + продажи ≈4000/мес; + вход при закупке ≤$4.67 даёт маржу 25%; + Buy Box не у Amazon; + конкуренция умеренная (2 офферов)",https://www.alibaba.com/trade/search?SearchText=fruit%20fly%20trap%20indoors%20traps,https://www.amazon.com/dp/B0GXV7V7JL
B0GTY1QJYB,Tenmiro-Solar-Pathway-Lights-Outdoor-8-Pack-LED-Solar-Powered-Garden-Lights-Waterproof-IP65-Auto-On/Off-Outdoor-Light-for-Yard-Lawn-Patio-Path-Walkway-Driveway-Landscape-Lighting-Decor-3000K,Tools & Home Improvement > Lighting & Ceiling Fans,39.99,3000,4.7,192,2026-02-02,нет,,,,,37.99,8.88,8.88,8.55,2565.0,BUY,"на DE не продаётся — свободная ниша, спрос проверять запуском/PPC; + продажи ≈3000/мес; + вход при закупке ≤$4.99 даёт маржу 25%; + Buy Box не у Amazon; + конкуренция умеренная (4 офферов)",https://www.alibaba.com/trade/search?SearchText=solar%20pathway%20lights%20outdoor%20led,https://www.amazon.com/dp/B0GTY1QJYB
B0GL2BF254,"SSWind 6000mAh Portable Handheld Fan with Ice Cooling, 199 Levels Stepless Speed, 20H Long Battery Life, 20000RPM Turbo Fan Rechargeable Personal Mini Fan for Travel, Outdoor, Makeup (Black)","Home & Kitchen > Heating, Cooling & Air Quality",28.39,4000,4.4,416,2026-02-02,нет,,,,,26.97,6.83,6.83,6.07,2428.0,BUY,"на DE не продаётся — свободная ниша, спрос проверять запуском/PPC; + продажи ≈4000/мес; + вход при закупке ≤$3.76 даёт маржу 25%; + Buy Box не у Amazon; + конкуренция умеренная (1 офферов)",https://www.alibaba.com/trade/search?SearchText=mah%20portable%20handheld%20fan%20ice,https://www.amazon.com/dp/B0GL2BF254
B0H3P36QNZ,"9 Inch Portable Laminator Machine with Anti-Jam Tech, All-in-One A4 Thermal Laminator w/Trimmer & Corner Rounder for Home, Office, School, Business, 40 Sheets Included（White）",Office Products > Office Electronics,34.99,2000,4.4,4,2026-06-02,нет,,,,,33.24,7.61,7.61,7.48,1496.0,BUY,"на DE не продаётся — свободная ниша, спрос проверять запуском/PPC; + продажи ≈2000/мес; + вход при закупке ≤$5.27 даёт маржу 25%; + Buy Box не у Amazon; + конкуренция умеренная (1 офферов); − волатильность цены 0.867",https://www.alibaba.com/trade/search?SearchText=portable%20laminator%20machine%20anti%20jam,https://www.amazon.com/dp/B0H3P36QNZ
B0GT7N4VY1,"Spruce Weed Killer Spray Power Wand Kit - Weed + Grass Killer₃ Reusable Weed Sprayer, Spot-Treating Kills Weeds in Lawns and Gardens, Additional 2 AA Batteries Included for Continuous Power (64 oz)","Patio, Lawn & Garden > Gardening & Lawn Care",39.97,30000,4.1,823,2026-04-01,нет,,,,,37.97,7.29,7.29,8.54,25620.0,WATCH,"на DE не продаётся — свободная ниша, спрос проверять запуском/PPC; + продажи ≈30000/мес; + Buy Box не у Amazon; + конкуренция умеренная (1 офферов)",https://www.alibaba.com/trade/search?SearchText=weed%20killer%20spray%20power%20wand,https://www.amazon.com/dp/B0GT7N4VY1
B0GLTX2PNR,"HP 63XL/65XL Black High-Yield Ink Cartridge (Replaces and Works with Both 63XL & 65XL) | Works with AMP; DeskJet 1100, 2100, 2600, 3600; Envy 4500, 5000; OfficeJet 3800, 4600, 5200 Series | B7RT5AN",Office Products > Office Electronics,46.89,20000,4.7,235542,2026-04-13,нет,,,,,44.55,13.9,13.9,10.02,20040.0,WATCH,"на DE не продаётся — свободная ниша, спрос проверять запуском/PPC; + продажи ≈20000/мес; + вход при закупке ≤$9.46 даёт маржу 25%; + Buy Box не у Amazon; − много офферов (25); − известный бренд — листинг = референс ниши, продаём PL-аналог",https://www.alibaba.com/trade/search?SearchText=high%20yield%20ink%20cartridge%20replaces,https://www.amazon.com/dp/B0GLTX2PNR
B0GYF91BXB,"HOMESURE Supports 200lbs Heavy Duty Moving Bags - Strong Zipper & Wrap-Around Handles - Water-Resistant Storage Totes, Durable Alternative to Moving Boxes - 8 Pack - Semi-Transparent",Home & Kitchen > Storage & Organization,29.99,30000,4.8,6960,2026-04-24,нет,,,,,28.49,5.3,5.3,6.41,19230.0,WATCH,"на DE не продаётся — свободная ниша, спрос проверять запуском/PPC; + продажи ≈30000/мес; + Buy Box не у Amazon; + конкуренция умеренная (1 офферов)",https://www.alibaba.com/trade/search?SearchText=supports%20lbs%20heavy%20duty%20moving,https://www.amazon.com/dp/B0GYF91BXB
B0G625WMBN,"Blink Battery Doorbell 2K+ (newest model) — Wireless video doorbell, 2K resolution, enhanced audio. Required Sync Module not included – Add-On (Black)",Tools & Home Improvement > Electrical,69.99,10000,4.2,202,2026-03-31,нет,,,,,66.49,22.36,22.36,14.96,14960.0,WATCH,"на DE не продаётся — свободная ниша, спрос проверять запуском/PPC; + продажи ≈10000/мес; + вход при закупке ≤$15.47 даёт маржу 25%; + Buy Box не у Amazon; + конкуренция умеренная (1 офферов); − известный бренд — листинг = референс ниши, продаём PL-аналог",https://www.alibaba.com/trade/search?SearchText=battery%20doorbell%20newest%20model%20wireless,https://www.amazon.com/dp/B0G625WMBN
B0G62ZV449,"Blink Battery Doorbell 2K+ (newest model) — Wireless video doorbell, 2K resolution, enhanced audio. Required Sync Module not included – Add-On (White)",Tools & Home Improvement > Electrical,69.99,7000,4.2,202,2026-03-31,нет,,,,,66.49,22.36,22.36,14.96,10472.0,WATCH,"на DE не продаётся — свободная ниша, спрос проверять запуском/PPC; + продажи ≈7000/мес; + вход при закупке ≤$15.47 даёт маржу 25%; + Buy Box не у Amazon; + конкуренция умеренная (1 офферов); − волатильность цены 1.509; − известный бренд — листинг = референс ниши, продаём PL-аналог",https://www.alibaba.com/trade/search?SearchText=battery%20doorbell%20newest%20model%20wireless,https://www.amazon.com/dp/B0G62ZV449
B0G62LKVGT,"Introducing Blink Wired Doorbell 2K+ — Head-to-Toe 2K video doorbell, continuous hardwired power, pair with Alexa or Blink Chime (sold separately) required for in-home alerts",Tools & Home Improvement > Electrical,49.99,9000,4.1,293,2026-03-31,нет,,,,,47.49,15.03,15.03,10.69,9621.0,WATCH,"на DE не продаётся — свободная ниша, спрос проверять запуском/PPC; + продажи ≈9000/мес; + вход при закупке ≤$10.15 даёт маржу 25%; + Buy Box не у Amazon; + конкуренция умеренная (1 офферов); − волатильность цены 2.769; − известный бренд — листинг = референс ниши, продаём PL-аналог",https://www.alibaba.com/trade/search?SearchText=introducing%20wired%20doorbell%20head%20toe,https://www.amazon.com/dp/B0G62LKVGT
B0GPZPSG9Z,"HydroJug Traveler 40oz, Insulated Tumbler with Handle & Straw, Primrose",Home & Kitchen > Kitchen & Dining,44.99,10000,4.6,17512,2026-02-24,нет,,,,,42.74,12.16,12.16,9.62,9620.0,WATCH,"на DE не продаётся — свободная ниша, спрос проверять запуском/PPC; + продажи ≈10000/мес; + вход при закупке ≤$6.74 даёт маржу 25%; + Buy Box не у Amazon; + конкуренция умеренная (5 офферов); − волатильность цены 0.646; − известный бренд — листинг = референс ниши, продаём PL-аналог",https://www.alibaba.com/trade/search?SearchText=traveler%20insulated%20tumbler%20handle%20straw,https://www.amazon.com/dp/B0GPZPSG9Z
B0GLVQP6J4,"HP 61XL Black High-Yield Ink | Works with DeskJet 1000, 1010, 1050, 1510, 2050, 2510, 2540, 3000, 3050, 3510; Envy 4500, 5530; OfficeJet 2620, 4630 | C0PA4AN CH563WN|Packaging May Vary",Office Products > Office Electronics,49.89,9000,4.7,90451,2026-04-08,нет,,,,,47.4,15.0,15.0,10.66,9594.0,WATCH,"на DE не продаётся — свободная ниша, спрос проверять запуском/PPC; + продажи ≈9000/мес; + вход при закупке ≤$10.30 даёт маржу 25%; + Buy Box не у Amazon; − известный бренд — листинг = референс ниши, продаём PL-аналог",https://www.alibaba.com/trade/search?SearchText=high%20yield%20ink%20works%20deskjet,https://www.amazon.com/dp/B0GLVQP6J4
